Case,RunTime,Object,EnterTime,Velocity,Acceleration,Condition,PrepTime
1,6.6,FastTapIn,0,0.1482541,2.601382, ,0
1,6.62,FastTapIn,0.02,0.07497333,-3.664041, ,0
1,6.64,FastTapIn,0.04,0.08456187,0.479427, ,0
1,6.66,FastTapIn,0.06,0.0298718,-2.734504, ,0
1,6.68,FastTapIn,0.08,0.05927341,1.470081, ,0
1,6.7,FastTapIn,0.09999999,0.04123951,-0.9016954, ,0
1,6.72,FastTapIn,0.12,0.0858459,2.23032, ,0
1,6.74,FastTapIn,0.14,0.04511385,-2.036603, ,0
1,6.76,FastTapIn,0.16,0.03638076,-0.4366547, ,0
1,6.78,FastTapIn,0.18,0.07254691,1.808308, ,0
1,6.8,FastTapIn,0.2,0.04144264,-1.555214, ,0
1,6.82,FastTapIn,0.22,0.05947877,0.9018065, ,0
1,6.84,FastTapIn,0.24,0.02247074,-1.850402, ,0
1,6.86,FastTapIn,0.26,0.02552153,0.1525393, ,0
1,6.88,FastTapIn,0.28,0.0474781,1.097829, ,0
1,6.9,FastTapIn,0.3,0.136794,4.465797, ,0
1,6.92,FastTapIn,0.32,0.3130966,8.815126, ,0
2,8.16,FastTapIn,0,0.3676941,7.540843, ,0
2,8.179999,FastTapIn,0.02,0.1545944,-10.65499, ,0
2,8.2,FastTapIn,0.04,0.1853161,1.536088, ,0
2,8.22,FastTapIn,0.06,0.0489104,-6.820287, ,0
2,8.24,FastTapIn,0.08,0.05316392,0.2126763, ,0
2,8.26,FastTapIn,0.09999999,0.1317168,3.927645, ,0
2,8.28,FastTapIn,0.12,0.0770904,-2.731321, ,0
2,8.3,FastTapIn,0.14,0.10142,1.216482, ,0
2,8.32,FastTapIn,0.16,0.05279957,-2.431023, ,0
2,8.34,FastTapIn,0.18,0.1110314,2.91159, ,0
2,8.36,FastTapIn,0.2,0.01526252,-4.788443, ,0
2,8.38,FastTapIn,0.22,0.01538634,0.006190827, ,0
2,8.4,FastTapIn,0.24,0.004876362,-0.5254987, ,0
2,8.42,FastTapIn,0.26,0.005334652,0.02291447, ,0
2,8.44,FastTapIn,0.28,0.07664432,3.565483, ,0
2,8.46,FastTapIn,0.3,0.01443755,-3.110338, ,0
2,8.48,FastTapIn,0.32,0.01837752,0.1969984, ,0
2,8.5,FastTapIn,0.34,0.01369753,-0.2339995, ,0
2,8.52,FastTapIn,0.36,0.05360238,1.995242, ,0
2,8.54,FastTapIn,0.38,0.03396792,-0.9817226, ,0
2,8.559999,FastTapIn,0.4,0.08937402,2.770305, ,0
2,8.58,FastTapIn,0.42,0.2526382,8.16321, ,0
2,8.599999,FastTapIn,0.4400001,0.1683071,-4.216556, ,0
2,8.62,FastTapIn,0.4600001,0.4194653,12.55791, ,0
2,8.639999,FastTapIn,0.4800001,0.2683223,-7.557151, ,0
3,10.72,FastTapIn,0,0.5400537,14.27873, ,0
3,10.74,FastTapIn,0.02,0.2468782,-14.65877, ,0
3,10.76,FastTapIn,0.04,0.3730634,6.309258, ,0
3,10.78,FastTapIn,0.06,0.4319794,2.945803, ,0
3,10.8,FastTapIn,0.08,0.09111247,-17.04335, ,0
3,10.82,FastTapIn,0.09999999,0.2548838,8.188565, ,0
3,10.84,FastTapIn,0.12,0.05515983,-9.986197, ,0
3,10.86,FastTapIn,0.14,0.1075039,2.617202, ,0
3,10.88,FastTapIn,0.16,0.08231164,-1.259611, ,0
3,10.9,FastTapIn,0.18,0.1848283,5.125831, ,0
3,10.92,FastTapIn,0.2,0.08010646,-5.23609, ,0
3,10.94,FastTapIn,0.22,0.06101628,-0.954509, ,0
3,10.96,FastTapIn,0.24,0.08323139,1.110755, ,0
3,10.98,FastTapIn,0.26,0.03438624,-2.442258, ,0
3,11,FastTapIn,0.28,0.0721819,1.889783, ,0
3,11.02,FastTapIn,0.3,0.03405157,-1.906516, ,0
3,11.04,FastTapIn,0.32,0.06234865,1.414854, ,0
3,11.06,FastTapIn,0.34,0.04637083,-0.7988913, ,0
3,11.08,FastTapIn,0.36,0.0443773,-0.09967647, ,0
3,11.1,FastTapIn,0.38,0.1469151,5.126892, ,0
3,11.12,FastTapIn,0.4,0.1101583,-1.83784, ,0
3,11.14,FastTapIn,0.42,0.6590566,27.44492, ,0
4,12.66,FastTapIn,0,0.4805735,5.425363, ,0
4,12.68,FastTapIn,0.02,0.2309192,-12.48272, ,0
4,12.7,FastTapIn,0.04,0.2724123,2.074656, ,0
4,12.72,FastTapIn,0.06,0.04406702,-11.41726, ,0
4,12.74,FastTapIn,0.08,0.08836024,2.214661, ,0
4,12.76,FastTapIn,0.09999999,0.03493381,-2.671321, ,0
4,12.78,FastTapIn,0.12,0.0297822,-0.2575805, ,0
4,12.8,FastTapIn,0.14,0.07699583,2.360682, ,0
4,12.82,FastTapIn,0.16,0.007854479,-3.457068, ,0
4,12.84,FastTapIn,0.18,0.1287661,6.04558, ,0
4,12.86,FastTapIn,0.2,0.04646816,-4.114896, ,0
4,12.88,FastTapIn,0.22,0.08947003,2.150094, ,0
4,12.9,FastTapIn,0.24,0.02120448,-3.413277, ,0
